"ecopool","pdMoney","TotalPDmoney","TotalCirculation","tick"
973.6088450000002,109.306111,109.30611099999999,1082.914956,233.0
973.6088450000002,109.306111,109.306111,1082.9149560000003,234.0
973.6088450000002,109.306111,109.306111,1082.9149560000003,235.0
973.6088450000002,109.306111,109.306111,1082.9149560000003,236.0
973.6088450000002,109.306111,109.306111,1082.9149560000003,237.0
973.6088450000002,109.306111,109.30611099999997,1082.914956,238.0
973.6088450000002,109.306111,109.30611099999997,1082.914956,239.0
973.6088450000002,109.306111,109.30611099999997,1082.914956,240.0
966.6088450000002,116.306111,116.30611099999997,1082.914956,241.0
966.6088450000002,116.306111,116.30611099999999,1082.914956,242.0
966.6088450000002,116.306111,116.30611099999999,1082.914956,243.0
960.6088450000002,122.306111,122.30611099999999,1082.914956,244.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,245.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,246.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,247.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,248.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,249.0
974.5002644000002,122.4578244,122.45782439999999,1096.9580888000003,250.0
974.5002644000002,122.4578244,122.45782439999999,1096.9580888000003,251.0
974.5002644000002,122.4578244,122.45782439999999,1096.9580888000003,252.0
974.5002644000002,122.4578244,122.45782439999999,1096.9580888000003,253.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,254.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,255.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,256.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,257.0
974.5002644000002,122.4578244,122.4578244,1096.9580888000003,258.0
981.0316144000002,122.5442744,122.54427439999999,1103.5758888000003,259.0
981.0316144000002,122.5442744,122.54427439999999,1103.5758888000003,260.0
981.0316144000002,122.5442744,122.54427439999999,1103.5758888000003,261.0
981.0316144000002,122.5442744,122.54427439999998,1103.5758888000003,262.0
981.0316144000002,122.5442744,122.54427439999998,1103.5758888000003,263.0
981.0316144000002,122.5442744,122.54427439999998,1103.5758888000003,264.0
981.0316144000002,122.5442744,122.54427439999998,1103.5758888000003,265.0
981.0316144000002,122.5442744,122.54427439999999,1103.5758888000003,266.0
981.0316144000002,122.5442744,122.54427439999999,1103.5758888000003,267.0
981.0316144000002,122.5442744,122.54427439999999,1103.5758888000003,268.0
981.0316144000002,122.5442744,122.54427439999999,1103.5758888000003,269.0
981.0316144000002,120.94427440000001,120.9442744,1101.9758888000001,270.0
981.0316144000002,120.94427440000001,120.9442744,1101.9758888000001,271.0
981.0316144000002,120.94427440000001,120.9442744,1101.9758888000001,272.0
1001.3100589000002,121.16576389999999,121.16576389999999,1122.4758228,273.0
1001.3100589000002,121.16576389999999,121.16576389999999,1122.4758228,274.0
1001.3100589000002,121.16576389999999,121.16576389999999,1122.4758228,275.0
1001.3100589000002,121.16576389999999,121.16576389999999,1122.4758228,276.0
1001.3100589000002,121.16576389999999,121.16576389999999,1122.4758228,277.0
1001.3100589000002,120.48681289999999,120.48681289999998,1121.7968718000002,278.0
1001.3100589000002,120.48681289999999,120.48681289999998,1121.7968718000002,279.0
